"employee_id","rating"
1,5
2,4
3,1
4,2
5,5
6,5
7,5
8,2
9,5
10,3
11,2
12,1
13,3
14,2
15,4
16,3
17,1
18,1
19,4
20,5
21,1
22,2
23,2
24,1
25,2
26,5
27,3
28,5
29,1
30,1
31,2
32,5
33,2
34,4
35,4
36,3
37,5
38,2
39,2
40,5
41,1
42,1
43,3
44,5
45,5
46,5
47,2
48,5
49,4
50,2
51,1
52,5
53,1
54,3
55,4
56,1
57,4
58,3
59,1
60,4
61,4
62,5
63,2
64,1
65,3
66,4
67,4
68,3
69,1
70,3
71,5
72,2
73,3
74,4
75,2
76,5
77,2
78,2
79,4
80,5
81,2
82,3
83,4
84,5
85,4
86,2
87,4
88,3
89,1
90,4
91,2
92,1
93,3
94,5
95,2
96,5
97,1
98,2
99,4
100,2
101,5
102,4
103,4
104,2
105,4
106,3
107,3
108,2
109,5
110,2
111,1
112,5
113,3
114,5
115,1
116,4
117,5
118,1
119,4
120,2
121,5
122,3
123,2
124,4
125,4
126,3
127,4
128,3
129,4
130,1
131,3
132,3
133,3
134,2
135,5
136,4
137,5
138,2
139,5
140,3
141,4
142,1
143,3
144,4
145,5
146,3
147,1
148,2
149,4
150,3
151,1
152,2
153,5
154,3
155,5
156,1
157,2
158,1
159,2
160,1
161,3
162,5
163,3
164,5
165,4
166,5
167,4
168,3
169,3
170,3
171,5
172,1
173,3
174,1
175,5
176,3
177,5
178,3
179,4
180,1
181,3
182,4
183,5
184,3
185,5
186,1
187,1
188,2
189,5
190,5
191,4
192,5
193,2
194,3
195,5
196,4
197,2
198,4
199,3
200,4
201,5
202,1
203,1
204,3
205,4
206,5
207,5
208,5
209,4
210,3
211,5
212,3
213,2
214,3
215,1
216,4
217,1
218,4
219,1
220,5
221,1
222,2
223,1
224,5
225,1
226,2
227,3
228,2
229,1
230,3
231,4
232,2
233,2
234,3
235,2
236,3
237,4
238,5
239,1
240,1
241,5
242,4
243,5
244,3
245,4
246,5
247,4
248,2
249,5
250,1
251,2
252,5
253,2
254,3
255,1
256,1
257,5
258,3
259,3
260,1
261,5
262,5
263,1
264,5
265,5
266,4
267,2
268,1
269,3
270,2
271,5
272,1
273,3
274,5
275,4
276,5
277,1
278,3
279,4
280,3
281,3
282,4
283,3
284,3
285,2
286,2
287,2
288,4
289,2
290,2
291,3
292,3
293,4
294,5
295,3
296,1
297,3
298,3
299,2
300,4
301,2
302,3
303,2
304,5
305,3
306,4
307,1
308,5
309,5
310,4
311,2
312,2
313,1
314,3
315,3
316,3
317,3
318,5
319,4
320,3
321,5
322,4
323,5
324,2
325,5
326,2
327,1
328,5
329,3
330,2
331,3
332,5
333,3
334,1
335,5
336,4
337,2
338,3
339,1
340,5
341,2
